,Aciklamalar,İl,Toplam 1. Doz,Toplam 2. Doz,Tarih,Günlük 1. Doz,Günlük 2.Doz
,,Aksaray,58.953,40.314,01.05.2021 23:46:45,220,169
,,Amasya,81.169,58.353,01.05.2021 23:46:45,153,153
,,Ankara,1.122.250,722.334,01.05.2021 23:46:45,4.641,4.765
,,Antalya,495.063,296.066,01.05.2021 23:46:45,2.028,1.631
,,Ardahan,16.719,11.432,01.05.2021 23:46:45,65,10
,,Artvin,38.138,30.019,01.05.2021 23:46:45,77,21
,,Aydın,264.256,189.658,01.05.2021 23:46:45,855,625
,,Balıkesir,334.212,237.799,01.05.2021 23:46:45,689,1.044
,,Bartın,45.297,31.453,01.05.2021 23:46:45,126,92
,,Batman,48.203,28.893,01.05.2021 23:46:45,257,104
,,Bayburt,11.552,7.945,01.05.2021 23:46:45,66,39
,,Bilecik,45.330,30.962,01.05.2021 23:46:45,102,81
,,Bingöl,29.183,16.434,01.05.2021 23:46:45,88,37
,,Bitlis,22.075,12.848,01.05.2021 23:46:45,49,21
,,Bolu,69.347,51.148,01.05.2021 23:46:45,182,104
,,Burdur,61.530,45.030,01.05.2021 23:46:45,189,101
,,Bursa,508.328,342.558,01.05.2021 23:46:45,3.489,1.912
,,Çanakkale,148.965,106.357,01.05.2021 23:46:45,208,595
,,Çankırı,40.747,29.616,01.05.2021 23:46:45,84,91
,,Çorum,112.653,80.655,01.05.2021 23:46:45,270,309
,,Denizli,194.879,139.309,01.05.2021 23:46:45,799,380
,,Diyarbakır,129.590,81.897,01.05.2021 23:46:45,417,302
,,Düzce,68.398,46.815,01.05.2021 23:46:45,277,205
,,Edirne,113.942,78.780,01.05.2021 23:46:45,419,559
,,Elazığ,94.399,63.122,01.05.2021 23:46:45,323,290
,,Erzincan,45.058,30.127,01.05.2021 23:46:45,109,88
,,Erzurum,98.192,68.552,01.05.2021 23:46:45,256,175
,,Eskişehir,201.908,137.305,01.05.2021 23:46:45,503,1.052
,,Gaziantep,193.020,124.829,01.05.2021 23:46:45,831,337
,,Giresun,113.343,82.618,01.05.2021 23:46:45,373,208
,,Gümüşhane,21.801,15.087,01.05.2021 23:46:45,27,22
,,Hakkari,13.384,6.402,01.05.2021 23:46:45,67,27
,,Hatay,213.651,131.306,01.05.2021 23:46:45,916,679
,,Içel,325.597,220.758,01.05.2021 23:46:45,930,882
,,Iğdır,19.200,12.378,01.05.2021 23:46:45,0,3
,,Isparta,99.592,72.397,01.05.2021 23:46:45,281,145
,,Istanbul,2.316.766,1.438.615,01.05.2021 23:46:45,10.216,11.955
,,Izmir,935.508,621.104,01.05.2021 23:46:45,3.787,3.327
,,Kahramanmaraş,138.344,95.683,01.05.2021 23:46:45,457,287
,,Karabük,52.594,36.256,01.05.2021 23:46:45,144,95
,,Karaman,45.416,31.935,01.05.2021 23:46:45,118,139
,,Kars,35.216,23.405,01.05.2021 23:46:45,69,36
,,Kastamonu,90.605,67.414,01.05.2021 23:46:45,121,136
,,Kayseri,232.989,156.011,01.05.2021 23:46:45,606,684
,,Kırıkkale,55.176,37.037,01.05.2021 23:46:45,212,165
,,Kırklareli,92.584,63.970,01.05.2021 23:46:45,209,220
,,Kırşehir,49.766,34.260,01.05.2021 23:46:45,170,129
,,Kilis,16.838,10.996,01.05.2021 23:46:45,140,10
,,Kocaeli,301.864,198.848,01.05.2021 23:46:45,1.499,1.072
,,Konya,349.275,250.548,01.05.2021 23:46:45,1.107,1.137
,,Kütahya,112.025,81.672,01.05.2021 23:46:45,318,147
,,Malatya,136.910,96.135,01.05.2021 23:46:45,447,273
,,Manisa,266.363,181.476,01.05.2021 23:46:45,1.191,641
,,Mardin,49.814,30.492,01.05.2021 23:46:45,183,84
,,Muğla,255.746,173.694,01.05.2021 23:46:45,833,1.239
,,Muş,27.864,17.463,01.05.2021 23:46:45,76,19
,,Nevşehir,56.098,36.036,01.05.2021 23:46:45,141,148
,,Niğde,55.701,37.849,01.05.2021 23:46:45,164,136
,,Ordu,172.961,117.633,01.05.2021 23:46:45,760,792
,,Osmaniye,89.941,59.665,01.05.2021 23:46:45,219,200
,,Rize,71.463,50.101,01.05.2021 23:46:45,338,94
,,Sakarya,169.238,118.853,01.05.2021 23:46:45,585,580
,,Samsun,270.883,188.978,01.05.2021 23:46:45,1.035,519
,,Siirt,18.806,10.677,01.05.2021 23:46:45,95,48
,,Sinop,57.575,40.856,01.05.2021 23:46:45,146,152
,,Sivas,113.059,79.874,01.05.2021 23:46:45,208,218
,,Şanlıurfa,108.954,68.650,01.05.2021 23:46:45,460,125
,,Şırnak,22.976,11.303,01.05.2021 23:46:45,178,146
,,Tekirdağ,197.474,124.560,01.05.2021 23:46:45,674,988
,,Tokat,127.285,91.317,01.05.2021 23:46:45,425,178
,,Trabzon,169.049,124.181,01.05.2021 23:46:45,700,255
,,Tunceli,21.768,12.974,01.05.2021 23:46:45,39,28
,,Türkiye,13.786.626,9.173.504,01.05.2021 23:46:45,52.248,46.321
,,Uşak,74.992,52.502,01.05.2021 23:46:45,257,145
,,Van,88.990,52.878,01.05.2021 23:46:45,380,260
,,Yalova,62.079,41.141,01.05.2021 23:46:45,155,292
,,Yozgat,74.567,53.104,01.05.2021 23:46:45,171,137
,,Zonguldak,128.393,89.992,01.05.2021 23:46:45,443,324
,,Adana,336.561,222.769,02.05.2021 23:46:56,1.216,1.214
,,Adıyaman,74.965,52.179,02.05.2021 23:46:56,220,132
,,Afyon,126.538,91.097,02.05.2021 23:46:56,323,693
,,Ağrı,36.647,17.873,02.05.2021 23:46:56,165,69
,,Aksaray,59.095,40.473,02.05.2021 23:46:56,142,159
,,Amasya,81.269,58.676,02.05.2021 23:46:56,100,323
,,Ankara,1.125.267,730.533,02.05.2021 23:46:56,3.017,8.199
,,Antalya,496.424,298.984,02.05.2021 23:46:56,1.361,2.918
,,Ardahan,16.764,11.443,02.05.2021 23:46:56,45,11
,,Artvin,38.217,30.106,02.05.2021 23:46:56,79,87
,,Aydın,264.934,190.998,02.05.2021 23:46:56,678,1.340
,,Balıkesir,334.630,240.037,02.05.2021 23:46:56,418,2.238
,,Bartın,45.387,31.555,02.05.2021 23:46:56,90,102
,,Batman,48.369,28.996,02.05.2021 23:46:56,166,103
,,Bayburt,11.582,7.970,02.05.2021 23:46:56,30,25
,,Bilecik,45.414,31.247,02.05.2021 23:46:56,84,285
,,Bingöl,29.256,16.518,02.05.2021 23:46:56,73,84
,,Bitlis,22.126,12.924,02.05.2021 23:46:56,51,76
,,Bolu,69.492,51.390,02.05.2021 23:46:56,145,242
,,Burdur,61.681,45.213,02.05.2021 23:46:56,151,183
,,Bursa,511.422,345.962,02.05.2021 23:46:56,3.094,3.404
,,Çanakkale,149.121,107.415,02.05.2021 23:46:56,156,1.058
,,Çankırı,40.811,29.899,02.05.2021 23:46:56,64,283
,,Çorum,112.869,81.338,02.05.2021 23:46:56,216,683
,,Denizli,195.250,140.220,02.05.2021 23:46:56,371,911
,,Diyarbakır,129.903,82.309,02.05.2021 23:46:56,313,412
,,Düzce,68.559,47.022,02.05.2021 23:46:56,161,207
,,Edirne,114.150,79.343,02.05.2021 23:46:56,208,563
,,Elazığ,94.613,63.705,02.05.2021 23:46:56,214,583
,,Erzincan,45.160,30.326,02.05.2021 23:46:56,102,199
,,Erzurum,98.376,68.975,02.05.2021 23:46:56,184,423
,,Eskişehir,202.277,138.464,02.05.2021 23:46:56,369,1.159
,,Gaziantep,193.786,125.616,02.05.2021 23:46:56,766,787
,,Giresun,113.727,82.883,02.05.2021 23:46:56,384,265
,,Gümüşhane,21.820,15.115,02.05.2021 23:46:56,19,28
,,Hakkari,13.463,6.498,02.05.2021 23:46:56,79,96
,,Hatay,214.340,132.305,02.05.2021 23:46:56,689,999
,,Içel,326.289,222.151,02.05.2021 23:46:56,692,1.393
,,Iğdır,19.200,12.382,02.05.2021 23:46:56,0,4
,,Isparta,99.787,72.789,02.05.2021 23:46:56,195,392
,,Istanbul,2.324.472,1.458.390,02.05.2021 23:46:56,7.706,19.775
,,Izmir,938.316,628.285,02.05.2021 23:46:56,2.808,7.181
,,Kahramanmaraş,138.678,96.057,02.05.2021 23:46:56,334,374
,,Karabük,52.673,36.458,02.05.2021 23:46:56,79,202
,,Karaman,45.510,32.078,02.05.2021 23:46:56,94,143
,,Kars,35.260,23.570,02.05.2021 23:46:56,44,165
,,Kastamonu,90.686,67.824,02.05.2021 23:46:56,81,410
,,Kayseri,233.473,156.596,02.05.2021 23:46:56,484,585
,,Kırıkkale,55.394,37.265,02.05.2021 23:46:56,218,228
,,Kırklareli,92.779,64.317,02.05.2021 23:46:56,195,347
,,Kırşehir,49.862,34.671,02.05.2021 23:46:56,96,411
,,Kilis,16.952,11.003,02.05.2021 23:46:56,114,7
,,Kocaeli,303.105,200.382,02.05.2021 23:46:56,1.241,1.534
,,Konya,350.213,252.036,02.05.2021 23:46:56,938,1.488
,,Kütahya,112.273,81.872,02.05.2021 23:46:56,248,200
,,Malatya,137.219,96.501,02.05.2021 23:46:56,309,366
,,Manisa,267.372,182.307,02.05.2021 23:46:56,1.009,831
,,Mardin,49.918,30.657,02.05.2021 23:46:56,104,165
,,Muğla,256.357,175.421,02.05.2021 23:46:56,611,1.727
,,Muş,27.930,17.557,02.05.2021 23:46:56,66,94
,,Nevşehir,56.212,36.275,02.05.2021 23:46:56,114,239
,,Niğde,55.827,38.047,02.05.2021 23:46:56,126,198
,,Ordu,173.520,118.727,02.05.2021 23:46:56,559,1.094
,,Osmaniye,90.069,60.044,02.05.2021 23:46:56,128,379
,,Rize,71.711,50.325,02.05.2021 23:46:56,248,224
,,Sakarya,169.887,120.509,02.05.2021 23:46:56,649,1.656
,,Samsun,271.800,190.511,02.05.2021 23:46:56,917,1.533
,,Siirt,18.888,10.705,02.05.2021 23:46:56,82,28
,,Sinop,57.693,41.248,02.05.2021 23:46:56,118,392
,,Sivas,113.212,80.330,02.05.2021 23:46:56,153,456
,,Şanlıurfa,109.234,68.860,02.05.2021 23:46:56,280,210
,,Şırnak,23.074,11.594,02.05.2021 23:46:56,98,291
,,Tekirdağ,197.957,125.798,02.05.2021 23:46:56,483,1.238
,,Tokat,127.534,92.142,02.05.2021 23:46:56,249,825
,,Trabzon,169.579,124.786,02.05.2021 23:46:56,530,605
,,Tunceli,21.806,13.033,02.05.2021 23:46:56,38,59
,,Türkiye,13.826.095,9.253.661,02.05.2021 23:46:56,39.469,80.157
,,Uşak,75.180,52.726,02.05.2021 23:46:56,188,224
,,Van,89.369,53.103,02.05.2021 23:46:56,379,225
,,Yalova,62.205,41.680,02.05.2021 23:46:56,126,539
,,Yozgat,74.657,53.449,02.05.2021 23:46:56,90,345
,,Zonguldak,128.698,90.824,02.05.2021 23:46:56,305,832
,,Adana,341.781,227.228,03.05.2021 23:49:00,5.220,4.459
,,Adıyaman,76.214,52.958,03.05.2021 23:49:00,1.249,779
,,Afyon,129.982,92.982,03.05.2021 23:49:00,3.444,1.885
,,Ağrı,38.002,18.122,03.05.2021 23:49:00,1.355,249
,,Aksaray,60.115,41.385,03.05.2021 23:49:00,1.020,912
,,Amasya,82.886,59.929,03.05.2021 23:49:00,1.617,1.253
,,Ankara,1.139.041,750.867,03.05.2021 23:49:00,13.774,20.334
,,Antalya,503.320,305.748,03.05.2021 23:49:00,6.896,6.764
,,Ardahan,17.241,11.729,03.05.2021 23:49:00,477,286
,,Artvin,39.243,30.852,03.05.2021 23:49:00,1.026,746
,,Aydın,270.805,195.957,03.05.2021 23:49:00,5.871,4.959
,,Balıkesir,338.443,245.815,03.05.2021 23:49:00,3.813,5.778
,,Bartın,46.426,32.385,03.05.2021 23:49:00,1.039,830
,,Batman,48.937,29.390,03.05.2021 23:49:00,568,394
,,Bayburt,11.849,8.173,03.05.2021 23:49:00,267,203
,,Bilecik,46.427,32.002,03.05.2021 23:49:00,1.013,755
,,Bingöl,29.863,17.028,03.05.2021 23:49:00,607,510
,,Bitlis,22.679,13.241,03.05.2021 23:49:00,553,317
,,Bolu,71.232,52.426,03.05.2021 23:49:00,1.740,1.036
,,Burdur,62.767,46.253,03.05.2021 23:49:00,1.086,1.040
,,Bursa,521.313,352.925,03.05.2021 23:49:00,9.891,6.963
,,Çanakkale,151.668,109.723,03.05.2021 23:49:00,2.547,2.308
,,Çankırı,41.751,30.603,03.05.2021 23:49:00,940,704
,,Çorum,114.090,82.952,03.05.2021 23:49:00,1.221,1.614
,,Denizli,199.367,143.505,03.05.2021 23:49:00,4.117,3.285
,,Diyarbakır,132.186,84.302,03.05.2021 23:49:00,2.283,1.993
,,Düzce,70.040,47.991,03.05.2021 23:49:00,1.481,969
,,Edirne,115.791,81.134,03.05.2021 23:49:00,1.641,1.791
,,Elazığ,96.092,64.877,03.05.2021 23:49:00,1.479,1.172
,,Erzincan,46.133,31.113,03.05.2021 23:49:00,973,787
,,Erzurum,100.869,70.626,03.05.2021 23:49:00,2.493,1.651
,,Eskişehir,205.368,141.685,03.05.2021 23:49:00,3.091,3.221
,,Gaziantep,198.236,128.436,03.05.2021 23:49:00,4.450,2.820
,,Giresun,116.359,84.899,03.05.2021 23:49:00,2.632,2.016
,,Gümüşhane,22.264,15.608,03.05.2021 23:49:00,444,493
,,Hakkari,13.708,6.635,03.05.2021 23:49:00,245,137
,,Hatay,217.399,133.999,03.05.2021 23:49:00,3.059,1.694
,,Içel,332.543,227.279,03.05.2021 23:49:00,6.254,5.128
,,Iğdır,19.720,12.591,03.05.2021 23:49:00,520,209
,,Isparta,101.958,74.315,03.05.2021 23:49:00,2.171,1.526
,,Istanbul,2.362.747,1.493.248,03.05.2021 23:49:00,38.275,34.858
,,Izmir,953.963,641.709,03.05.2021 23:49:00,15.647,13.424
,,Kahramanmaraş,141.720,98.230,03.05.2021 23:49:00,3.042,2.173
,,Karabük,53.550,37.261,03.05.2021 23:49:00,877,803
,,Karaman,46.419,32.742,03.05.2021 23:49:00,909,664
,,Kars,36.206,24.119,03.05.2021 23:49:00,946,549
,,Kastamonu,92.951,69.574,03.05.2021 23:49:00,2.265,1.750
,,Kayseri,238.271,160.830,03.05.2021 23:49:00,4.798,4.234
,,Kırıkkale,56.429,38.057,03.05.2021 23:49:00,1.035,792
,,Kırklareli,94.308,65.821,03.05.2021 23:49:00,1.529,1.504
,,Kırşehir,51.179,35.506,03.05.2021 23:49:00,1.317,835
,,Kilis,17.279,11.173,03.05.2021 23:49:00,327,170
,,Kocaeli,308.344,204.991,03.05.2021 23:49:00,5.239,4.609
,,Konya,357.108,257.083,03.05.2021 23:49:00,6.895,5.047
,,Kütahya,115.016,83.597,03.05.2021 23:49:00,2.743,1.725
,,Malatya,140.319,98.903,03.05.2021 23:49:00,3.100,2.402
,,Manisa,270.050,185.538,03.05.2021 23:49:00,2.678,3.231
,,Mardin,51.074,31.153,03.05.2021 23:49:00,1.156,496
,,Muğla,260.671,179.654,03.05.2021 23:49:00,4.314,4.233
,,Muş,28.294,17.946,03.05.2021 23:49:00,364,389
,,Nevşehir,56.753,37.043,03.05.2021 23:49:00,541,768
,,Niğde,57.044,39.043,03.05.2021 23:49:00,1.217,996
,,Ordu,176.692,121.522,03.05.2021 23:49:00,3.172,2.795
,,Osmaniye,91.865,61.846,03.05.2021 23:49:00,1.796,1.802
,,Rize,73.105,51.588,03.05.2021 23:49:00,1.394,1.263
,,Sakarya,174.002,123.255,03.05.2021 23:49:00,4.115,2.746
,,Samsun,277.989,194.363,03.05.2021 23:49:00,6.189,3.852
,,Siirt,19.235,10.956,03.05.2021 23:49:00,347,251
,,Sinop,58.673,42.216,03.05.2021 23:49:00,980,968
,,Sivas,115.015,82.327,03.05.2021 23:49:00,1.803,1.997
,,Şanlıurfa,111.141,70.018,03.05.2021 23:49:00,1.907,1.158
,,Şırnak,23.348,11.958,03.05.2021 23:49:00,274,364
,,Tekirdağ,200.440,128.878,03.05.2021 23:49:00,2.483,3.080
,,Tokat,131.000,94.434,03.05.2021 23:49:00,3.466,2.292
,,Trabzon,173.907,128.095,03.05.2021 23:49:00,4.328,3.309
,,Tunceli,22.063,13.424,03.05.2021 23:49:00,257,391
,,Türkiye,14.070.714,9.465.388,03.05.2021 23:49:00,244.619,211.727
,,Uşak,76.659,53.733,03.05.2021 23:49:00,1.479,1.007
,,Van,90.555,53.736,03.05.2021 23:49:00,1.186,633
,,Yalova,63.327,42.780,03.05.2021 23:49:00,1.122,1.100
,,Yozgat,76.470,54.643,03.05.2021 23:49:00,1.813,1.194
,,Zonguldak,131.425,92.727,03.05.2021 23:49:00,2.727,1.903
,,Adana,345.019,232.922,04.05.2021 23:46:44,3.238,5.694
,,Adıyaman,76.822,53.906,04.05.2021 23:46:44,608,948
,,Afyon,131.611,95.749,04.05.2021 23:46:44,1.629,2.767
,,Ağrı,38.961,18.557,04.05.2021 23:46:44,959,435
,,Aksaray,60.620,42.497,04.05.2021 23:46:44,505,1.112
,,Amasya,83.391,61.707,04.05.2021 23:46:44,505,1.778
,,Ankara,1.150.248,772.340,04.05.2021 23:46:44,11.207,21.473
,,Antalya,508.750,314.515,04.05.2021 23:46:44,5.430,8.767
,,Ardahan,17.426,11.982,04.05.2021 23:46:44,185,253
,,Artvin,39.580,31.776,04.05.2021 23:46:44,337,924
,,Aydın,273.760,202.078,04.05.2021 23:46:44,2.955,6.121
,,Balıkesir,341.286,252.435,04.05.2021 23:46:44,2.843,6.620
,,Bartın,46.828,33.532,04.05.2021 23:46:44,402,1.147
,,Batman,49.371,29.924,04.05.2021 23:46:44,434,534
,,Bayburt,11.976,8.403,04.05.2021 23:46:44,127,230
,,Bilecik,46.993,33.043,04.05.2021 23:46:44,566,1.041
,,Bingöl,30.049,17.801,04.05.2021 23:46:44,186,773
,,Bitlis,22.860,13.695,04.05.2021 23:46:44,181,454
,,Bolu,71.890,53.855,04.05.2021 23:46:44,658,1.429
,,Burdur,63.333,47.440,04.05.2021 23:46:44,566,1.187
,,Bursa,528.115,361.323,04.05.2021 23:46:44,6.802,8.398
,,Çanakkale,153.322,112.277,04.05.2021 23:46:44,1.654,2.554
,,Çankırı,42.143,31.721,04.05.2021 23:46:44,392,1.118
,,Çorum,114.952,84.995,04.05.2021 23:46:44,862,2.043
,,Denizli,201.373,147.754,04.05.2021 23:46:44,2.006,4.249
,,Diyarbakır,133.116,87.261,04.05.2021 23:46:44,930,2.959
,,Düzce,70.981,49.385,04.05.2021 23:46:44,941,1.394
,,Edirne,117.306,82.941,04.05.2021 23:46:44,1.515,1.807
,,Elazığ,97.060,66.512,04.05.2021 23:46:44,968,1.635
,,Erzincan,46.571,32.041,04.05.2021 23:46:44,438,928
,,Erzurum,101.387,72.666,04.05.2021 23:46:44,518,2.040
,,Eskişehir,207.545,145.831,04.05.2021 23:46:44,2.177,4.146
,,Gaziantep,200.238,132.969,04.05.2021 23:46:44,2.002,4.533
,,Giresun,117.686,87.399,04.05.2021 23:46:44,1.327,2.500
,,Gümüşhane,22.479,16.114,04.05.2021 23:46:44,215,506
,,Hakkari,13.876,6.796,04.05.2021 23:46:44,168,161
,,Hatay,219.395,137.337,04.05.2021 23:46:44,1.996,3.338
,,Içel,336.228,233.578,04.05.2021 23:46:44,3.685,6.299
,,Iğdır,19.937,12.847,04.05.2021 23:46:44,217,256
,,Isparta,102.815,76.382,04.05.2021 23:46:44,857,2.067
,,Istanbul,2.389.363,1.535.346,04.05.2021 23:46:44,26.616,42.098
,,Izmir,964.367,658.858,04.05.2021 23:46:44,10.404,17.149
,,Kahramanmaraş,142.924,101.102,04.05.2021 23:46:44,1.204,2.872
,,Karabük,54.238,38.254,04.05.2021 23:46:44,688,993
,,Karaman,46.914,33.684,04.05.2021 23:46:44,495,942
,,Kars,36.506,24.829,04.05.2021 23:46:44,300,710
,,Kastamonu,93.855,71.608,04.05.2021 23:46:44,904,2.034
,,Kayseri,240.302,166.880,04.05.2021 23:46:44,2.031,6.050
,,Kırıkkale,57.209,39.057,04.05.2021 23:46:44,780,1.000
,,Kırklareli,95.254,67.496,04.05.2021 23:46:44,946,1.675
,,Kırşehir,51.667,36.624,04.05.2021 23:46:44,488,1.118
,,Kilis,17.475,11.413,04.05.2021 23:46:44,196,240
,,Kocaeli,312.013,211.023,04.05.2021 23:46:44,3.669,6.032
,,Konya,360.784,263.963,04.05.2021 23:46:44,3.676,6.880
,,Kütahya,116.433,85.802,04.05.2021 23:46:44,1.417,2.205
,,Malatya,141.515,102.200,04.05.2021 23:46:44,1.196,3.297
,,Manisa,272.144,189.371,04.05.2021 23:46:44,2.094,3.833
,,Mardin,51.549,32.186,04.05.2021 23:46:44,475,1.033
,,Muğla,263.710,184.492,04.05.2021 23:46:44,3.039,4.838
,,Muş,28.457,18.490,04.05.2021 23:46:44,163,544
,,Nevşehir,57.124,38.199,04.05.2021 23:46:44,371,1.156
,,Niğde,57.444,40.513,04.05.2021 23:46:44,400,1.470
,,Ordu,178.884,124.732,04.05.2021 23:46:44,2.192,3.210
,,Osmaniye,92.676,64.433,04.05.2021 23:46:44,811,2.587
,,Rize,73.910,53.192,04.05.2021 23:46:44,805,1.604
,,Sakarya,175.539,127.208,04.05.2021 23:46:44,1.537,3.953
,,Samsun,281.336,199.507,04.05.2021 23:46:44,3.347,5.144
,,Siirt,19.400,11.323,04.05.2021 23:46:44,165,367
,,Sinop,59.066,43.255,04.05.2021 23:46:44,393,1.039
,,Sivas,116.205,84.554,04.05.2021 23:46:44,1.190,2.227
,,Şanlıurfa,112.130,71.734,04.05.2021 23:46:44,989,1.716
,,Şırnak,23.653,12.300,04.05.2021 23:46:44,305,342
,,Tekirdağ,202.419,132.416,04.05.2021 23:46:44,1.979,3.538
,,Tokat,131.995,97.261,04.05.2021 23:46:44,995,2.827
,,Trabzon,175.720,131.957,04.05.2021 23:46:44,1.813,3.862
,,Tunceli,22.194,13.832,04.05.2021 23:46:44,131,408
,,Türkiye,14.217.196,9.730.307,04.05.2021 23:46:44,146.482,264.919
,,Uşak,77.521,54.968,04.05.2021 23:46:44,862,1.235
,,Van,91.683,54.455,04.05.2021 23:46:44,1.128,719
,,Yalova,63.859,44.152,04.05.2021 23:46:44,532,1.372
,,Yozgat,77.130,56.230,04.05.2021 23:46:44,660,1.587
,,Zonguldak,133.330,95.122,04.05.2021 23:46:44,1.905,2.395
,,Adana,347.438,238.267,05.05.2021 23:46:57,2.419,5.345
,,Adıyaman,77.245,54.548,05.05.2021 23:46:57,423,642
,,Afyon,132.616,97.704,05.05.2021 23:46:57,1.005,1.955
,,Ağrı,39.742,18.823,05.05.2021 23:46:57,781,266
,,Aksaray,61.013,43.383,05.05.2021 23:46:57,393,886
,,Amasya,83.970,63.169,05.05.2021 23:46:57,579,1.462
,,Ankara,1.159.433,792.517,05.05.2021 23:46:57,9.185,20.177
,,Antalya,513.537,322.656,05.05.2021 23:46:57,4.787,8.141
,,Ardahan,17.621,12.210,05.05.2021 23:46:57,195,228
,,Artvin,39.816,32.344,05.05.2021 23:46:57,236,568
,,Aydın,275.624,206.610,05.05.2021 23:46:57,1.864,4.532
,,Balıkesir,343.546,257.494,05.05.2021 23:46:57,2.260,5.059
,,Bartın,47.130,34.275,05.05.2021 23:46:57,302,743
,,Batman,49.736,30.414,05.05.2021 23:46:57,365,490
,,Bayburt,12.087,8.556,05.05.2021 23:46:57,111,153
,,Bilecik,47.314,33.845,05.05.2021 23:46:57,321,802
,,Bingöl,30.255,18.340,05.05.2021 23:46:57,206,539
,,Bitlis,22.992,13.962,05.05.2021 23:46:57,132,267
,,Bolu,72.302,54.872,05.05.2021 23:46:57,412,1.017
,,Burdur,63.856,48.357,05.05.2021 23:46:57,523,917
,,Bursa,533.093,368.912,05.05.2021 23:46:57,4.978,7.589
,,Çanakkale,154.480,114.646,05.05.2021 23:46:57,1.158,2.369
,,Çankırı,42.496,32.390,05.05.2021 23:46:57,353,669
,,Çorum,115.688,86.812,05.05.2021 23:46:57,736,1.817
,,Denizli,202.573,151.038,05.05.2021 23:46:57,1.200,3.284
,,Diyarbakır,133.783,88.928,05.05.2021 23:46:57,667,1.667
,,Düzce,71.609,50.736,05.05.2021 23:46:57,628,1.351
,,Edirne,118.545,84.749,05.05.2021 23:46:57,1.239,1.808
,,Elazığ,97.677,67.895,05.05.2021 23:46:57,617,1.383
,,Erzincan,46.758,32.808,05.05.2021 23:46:57,187,767
,,Erzurum,101.816,73.943,05.05.2021 23:46:57,429,1.277
,,Eskişehir,209.140,149.326,05.05.2021 23:46:57,1.595,3.495
,,Gaziantep,201.292,135.682,05.05.2021 23:46:57,1.054,2.713
,,Giresun,118.578,89.498,05.05.2021 23:46:57,892,2.099
,,Gümüşhane,22.657,16.458,05.05.2021 23:46:57,178,344
,,Hakkari,13.995,6.942,05.05.2021 23:46:57,119,146
,,Hatay,220.803,140.019,05.05.2021 23:46:57,1.408,2.682
,,Içel,338.866,239.257,05.05.2021 23:46:57,2.638,5.679
,,Iğdır,20.081,13.037,05.05.2021 23:46:57,144,190
,,Isparta,103.505,77.878,05.05.2021 23:46:57,690,1.496
,,Istanbul,2.409.642,1.571.966,05.05.2021 23:46:57,20.279,36.620
,,Izmir,972.784,674.388,05.05.2021 23:46:57,8.417,15.530
,,Kahramanmaraş,143.669,103.172,05.05.2021 23:46:57,745,2.070
,,Karabük,54.698,39.062,05.05.2021 23:46:57,460,808
,,Karaman,47.284,34.440,05.05.2021 23:46:57,370,756
,,Kars,36.701,25.313,05.05.2021 23:46:57,195,484
,,Kastamonu,94.344,72.989,05.05.2021 23:46:57,489,1.381
,,Kayseri,241.665,171.355,05.05.2021 23:46:57,1.363,4.475
,,Kırıkkale,57.901,39.928,05.05.2021 23:46:57,692,871
,,Kırklareli,96.009,68.891,05.05.2021 23:46:57,755,1.395
,,Kırşehir,52.016,37.521,05.05.2021 23:46:57,349,897
,,Kilis,17.649,11.624,05.05.2021 23:46:57,174,211
,,Kocaeli,314.760,216.142,05.05.2021 23:46:57,2.747,5.119
,,Konya,363.291,269.445,05.05.2021 23:46:57,2.507,5.482
,,Kütahya,117.442,87.741,05.05.2021 23:46:57,1.009,1.939
,,Malatya,142.390,104.114,05.05.2021 23:46:57,875,1.914
,,Manisa,274.080,193.876,05.05.2021 23:46:57,1.936,4.505
,,Mardin,51.979,32.761,05.05.2021 23:46:57,430,575
,,Muğla,266.267,188.687,05.05.2021 23:46:57,2.557,4.195
,,Muş,28.617,18.894,05.05.2021 23:46:57,160,404
,,Nevşehir,57.444,39.214,05.05.2021 23:46:57,320,1.015
,,Niğde,57.728,41.453,05.05.2021 23:46:57,284,940
,,Ordu,180.374,127.747,05.05.2021 23:46:57,1.490,3.015
,,Osmaniye,93.349,66.218,05.05.2021 23:46:57,673,1.785
,,Rize,74.530,54.450,05.05.2021 23:46:57,620,1.258
,,Sakarya,176.714,130.043,05.05.2021 23:46:57,1.175,2.835
,,Samsun,283.736,204.005,05.05.2021 23:46:57,2.400,4.498
,,Siirt,19.519,11.582,05.05.2021 23:46:57,119,259
,,Sinop,59.477,44.120,05.05.2021 23:46:57,411,865
,,Sivas,117.116,86.582,05.05.2021 23:46:57,911,2.028
,,Şanlıurfa,112.944,72.726,05.05.2021 23:46:57,814,992
,,Şırnak,23.977,12.618,05.05.2021 23:46:57,324,318
,,Tekirdağ,203.847,135.898,05.05.2021 23:46:57,1.428,3.482
,,Tokat,132.713,99.051,05.05.2021 23:46:57,718,1.790
,,Trabzon,176.909,134.544,05.05.2021 23:46:57,1.189,2.587
,,Tunceli,22.273,14.193,05.05.2021 23:46:57,79,361
,,Türkiye,14.327.632,9.951.192,05.05.2021 23:46:57,110.436,220.885
,,Uşak,78.090,55.942,05.05.2021 23:46:57,569,974
,,Van,92.769,55.093,05.05.2021 23:46:57,1.086,638
,,Yalova,64.235,45.067,05.05.2021 23:46:57,376,915
