,Aciklamalar,İl,Toplam 1. Doz,Toplam 2. Doz,Tarih,Günlük 1. Doz,Günlük 2.Doz
,,Adıyaman,13.030,0,29.01.2021 23:11:14,1.361,
,,Afyon,18.091,0,29.01.2021 23:11:15,2.458,
,,Ağrı,3.765,0,29.01.2021 23:11:16,160,
,,Aksaray,7.587,0,29.01.2021 23:12:22,907,
,,Amasya,12.517,0,29.01.2021 23:11:17,1.882,
,,Ankara,188.238,0,29.01.2021 23:11:18,20.198,
,,Antalya,60.168,0,29.01.2021 23:11:19,5.142,
,,Ardahan,1.996,0,29.01.2021 23:12:30,219,
,,Artvin,5.586,0,29.01.2021 23:11:20,777,
,,Aydın,31.494,0,29.01.2021 23:11:21,4.724,
,,Balıkesir,38.640,0,29.01.2021 23:11:22,6.569,
,,Bartın,4.823,0,29.01.2021 23:12:29,564,
,,Batman,8.828,0,29.01.2021 23:12:27,761,
,,Bayburt,1.531,0,29.01.2021 23:12:23,132,
,,Bilecik,6.499,0,29.01.2021 23:11:24,980,
,,Bingöl,3.449,0,29.01.2021 23:11:25,216,
,,Bitlis,4.246,0,29.01.2021 23:11:26,164,
,,Bolu,12.564,0,29.01.2021 23:11:27,1.396,
,,Burdur,9.998,0,29.01.2021 23:11:28,1.335,
,,Bursa,62.657,0,29.01.2021 23:11:28,8.519,
,,Çanakkale,17.787,0,29.01.2021 23:11:29,2.654,
,,Çankırı,6.037,0,29.01.2021 23:11:31,783,
,,Çorum,16.336,0,29.01.2021 23:11:32,2.307,
,,Denizli,29.060,0,29.01.2021 23:11:33,3.909,
,,Diyarbakır,25.101,0,29.01.2021 23:11:34,2.118,
,,Düzce,9.009,0,29.01.2021 23:12:36,1.175,
,,Edirne,14.772,0,29.01.2021 23:11:35,2.178,
,,Elazığ,15.264,0,29.01.2021 23:11:37,1.484,
,,Erzincan,5.729,0,29.01.2021 23:11:38,600,
,,Erzurum,14.399,0,29.01.2021 23:11:39,1.014,
,,Eskişehir,31.126,0,29.01.2021 23:11:40,4.407,
,,Gaziantep,28.996,0,29.01.2021 23:11:41,2.401,
,,Giresun,14.529,0,29.01.2021 23:11:42,2.004,
,,Gümüşhane,3.057,0,29.01.2021 23:11:44,279,
,,Hakkari,2.184,0,29.01.2021 23:11:45,38,
,,Hatay,30.206,0,29.01.2021 23:11:46,3.030,
,,Içel,45.562,0,29.01.2021 23:11:48,7.226,
,,Iğdır,2.944,0,29.01.2021 23:12:31,257,
,,Isparta,18.913,0,29.01.2021 23:11:47,1.883,
,,Istanbul,332.872,0,29.01.2021 23:11:49,37.131,
,,Izmir,122.658,0,29.01.2021 23:11:50,16.387,
,,Kahramanmaraş,18.909,0,29.01.2021 23:12:01,2.273,
